flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
425,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:45,,28-10-2018,30-03-2019
423,GoAir,Delhi,Hyderabad,Saturday,07:30,,28-10-2018,28-10-2018
422,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,,28-10-2018,30-03-2019
559,GoAir,Lucknow,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:45,17:45,28-10-2018,30-03-2019
580,GoAir,Kochi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:45,06:15,28-10-2018,30-03-2019
587,GoAir,Kochi,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,19:20,28-10-2018,30-03-2019
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:05,12:45,29-10-2018,30-03-2019
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:35,22:20,28-10-2018,30-03-2019
701,GoAir,Jaipur,Hyderabad,Saturday,08:55,10:55,28-10-2018,24-03-2019
431,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,15:05,28-10-2018,30-03-2019
385,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:55,,28-10-2018,30-03-2019
894,GoAir,Bengaluru,Hyderabad,Saturday,11:30,12:40,28-10-2018,24-03-2019
294,GoAir,Bengaluru,Hyderabad,Saturday,18:55,,28-10-2018,24-03-2019
952,GoAir,Guwahati,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:25,09:45,28-10-2018,30-03-2019
373,GoAir,Goa,Hyderabad,Saturday,04:45,,28-10-2018,24-03-2019
662,GoAir,Goa,Hyderabad,Saturday,10:45,12:10,28-10-2018,24-03-2019
370,GoAir,Goa,Hyderabad,Monday,19:45,,30-10-2018,26-03-2019
572,GoAir,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:55,,28-10-2018,30-03-2019
121,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:35,,29-10-2018,30-03-2019
125,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,19:20,28-10-2018,30-03-2019
421,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:35,,28-10-2018,29-03-2019
424,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:20,12:45,28-10-2018,30-03-2019
996,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:55,01:25,28-10-2018,30-03-2019
616,GoAir,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:25,10:05,01-12-2018,31-01-2019
618,GoAir,Nagpur,Delhi,"Monday,Tuesday,Thursday,Friday,Saturday",20:05,,01-12-2018,31-01-2019
158,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:40,16:10,28-10-2018,30-03-2019
151,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:05,19:25,28-10-2018,30-03-2019
851,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:25,17:40,31-03-2019,26-10-2019
758,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,18:35,31-03-2019,26-10-2019
208,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40,08:00,28-10-2018,30-11-2018
212,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,,28-10-2018,30-03-2019
188,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:30,20:00,28-10-2018,30-03-2019
346,GoAir,Mumbai,Delhi,"Sunday,Tuesday,Friday",01:00,,29-10-2018,30-03-2019
329,GoAir,Mumbai,Delhi,Saturday,06:05,,28-10-2018,28-10-2018
327,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55,10:10,28-10-2018,30-03-2019
319,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:55,,28-10-2018,30-03-2019
465,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,,28-10-2018,28-02-2019
439,GoAir,Mumbai,Delhi,"Monday,Thursday,Saturday",18:30,,28-10-2018,29-03-2019
341,GoAir,Mumbai,Delhi,"Sunday,Friday",20:15,,29-10-2018,30-03-2019
643,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:15,23:30,28-10-2018,30-03-2019
345,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:45,,28-10-2018,30-03-2019
712,GoAir,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,11:05,28-10-2018,31-01-2019
